scenario,policy,calibration,car_id,n_frames,mean_lateral_error_px,mean_heading_error_deg,mean_gap_cm,mean_obs_dist_px,n_collision,n_near_miss,n_emergency_stop,collision_rate,near_miss_rate,emergency_stop_rate,n_collision_car,n_near_miss_car,n_decision_car,collision_rate_car,near_miss_rate_car,n_collision_object,n_near_miss_object,n_decision_object,collision_rate_object,near_miss_rate_object,mean_waiting_time_s
S2,cooperative,non-calib,1,405,12.96,5.4807,58.1426,-,0.0,0.0,0.3333,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
S2,cooperative,non-calib,2,405,16.738,11.6529,58.1426,-,0.0,0.0,0.5,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
